timestamp,run_id,kind,scenario,phase,duration_nanos,duration_millis,preview_type,tree_preview_type,has_path,solved,ticks,task_state
"2026-05-31T03:06:53.364500300Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-acyclic","solve","355166900","355","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.365495900Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-acyclic","desanitize","5300300","5","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.367054700Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-acyclic","preview","1636500","1","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.368108500Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-acyclic","treePreview","883500","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.369109700Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-acyclic","total","364455900","364","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.489085300Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-cyclic-ring","initialization","501800","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.490050300Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-cyclic-ring","solve","115482600","115","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.491049100Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-cyclic-ring","desanitize","472000","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.492150800Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-cyclic-ring","preview","411000","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.493762700Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-cyclic-ring","treePreview","132000","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.494784900Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-cyclic-ring","total","116999400","116","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.580236500Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-many-small-cycles","initialization","357700","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.581240400Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-many-small-cycles","solve","81908600","81","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.582227Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-many-small-cycles","desanitize","300400","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.583232500Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-many-small-cycles","preview","517100","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.583232500Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-many-small-cycles","treePreview","305400","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.584776Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-many-small-cycles","total","83389200","83","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.793046700Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-overlapping-cycles","initialization","769900","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.794055400Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-overlapping-cycles","solve","202793200","202","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.795055Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-overlapping-cycles","desanitize","474100","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.796049100Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-overlapping-cycles","preview","600700","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.797049200Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-overlapping-cycles","treePreview","342500","0","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:06:53.798058900Z","c154906f-6b8a-463e-be26-d246b2298812","section","sections-overlapping-cycles","total","204980400","204","SUCCESS","SUCCESS","","true","",""
"2026-05-31T03:07:38.076513200Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","preview","acyclic-success","solveAndCalculatePreview","3840886400","3840","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:07:38.080934800Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","preview","acyclic-success","solveAndCalculateTreePreview","2640683800","2640","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:07:38.089726900Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","preview","acyclic-success","total","6481570200","6481","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:07:38.091252100Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","preview","acyclic-missing","solveAndCalculatePreview","3808081000","3808","MISSING_RESOURCES","MISSING_RESOURCES","true","","",""
"2026-05-31T03:07:38.093218100Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","preview","acyclic-missing","solveAndCalculateTreePreview","2558289400","2558","MISSING_RESOURCES","MISSING_RESOURCES","true","","",""
"2026-05-31T03:07:38.093218100Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","preview","acyclic-missing","total","6366370400","6366","MISSING_RESOURCES","MISSING_RESOURCES","true","","",""
"2026-05-31T03:07:39.291019500Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","execution","exec-cyclic-ring","solve","792351800","792","","","","","37","COMPLETED"
"2026-05-31T03:07:39.292839600Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","execution","exec-cyclic-ring","dispatch","46963300","46","","","","","37","COMPLETED"
"2026-05-31T03:07:39.293623400Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","execution","exec-cyclic-ring","execute","317456000","317","","","","","37","COMPLETED"
"2026-05-31T03:07:39.295634200Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","execution","exec-cyclic-ring","total","1156771100","1156","","","","","37","COMPLETED"
"2026-05-31T03:07:39.848908800Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","execution","exec-many-small-cycles","solve","416162200","416","","","","","9","COMPLETED"
"2026-05-31T03:07:39.848908800Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","execution","exec-many-small-cycles","dispatch","2873600","2","","","","","9","COMPLETED"
"2026-05-31T03:07:39.848908800Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","execution","exec-many-small-cycles","execute","133202400","133","","","","","9","COMPLETED"
"2026-05-31T03:07:39.856190900Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","execution","exec-many-small-cycles","total","552238200","552","","","","","9","COMPLETED"
"2026-05-31T03:07:43.036602600Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","execution","exec-overlapping-cycles","solve","3044904200","3044","","","","","10","COMPLETED"
"2026-05-31T03:07:43.041339500Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","execution","exec-overlapping-cycles","dispatch","3741300","3","","","","","10","COMPLETED"
"2026-05-31T03:07:43.043365800Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","execution","exec-overlapping-cycles","execute","126967100","126","","","","","10","COMPLETED"
"2026-05-31T03:07:43.045303200Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","execution","exec-overlapping-cycles","total","3175612600","3175","","","","","10","COMPLETED"
"2026-05-31T03:07:44.277719700Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","preview","cyclic-ring-large","solveAndCalculatePreview","568369800","568","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:07:44.279733800Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","preview","cyclic-ring-large","solveAndCalculateTreePreview","649802900","649","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:07:44.281771100Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","preview","cyclic-ring-large","total","1218172700","1218","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:07:44.939178500Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","preview","cyclic-many-small","solveAndCalculatePreview","301779900","301","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:07:44.940025900Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","preview","cyclic-many-small","solveAndCalculateTreePreview","337767000","337","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:07:44.944300Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","preview","cyclic-many-small","total","639546900","639","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:07:47.886819100Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","preview","cyclic-overlapping","solveAndCalculatePreview","1004168900","1004","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:07:47.886819100Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","preview","cyclic-overlapping","solveAndCalculateTreePreview","1931854200","1931","SUCCESS","SUCCESS","true","","",""
"2026-05-31T03:07:47.890525600Z","4aca5fc3-21e0-4f64-acc8-86c88a198fbb","preview","cyclic-overlapping","total","2936023100","2936","SUCCESS","SUCCESS","true","","",""
